MA,V,Visa_Inc.,Mastercard,Visa_z,MA_z,Visa_7_day_profit,MA_7_day_profit
556.1051635742188,345.0178527832031,1345,1753,,,-9.06365966796875,-17.09906005859375
557.8250122070312,346.0501403808594,1594,1186,,,-8.3494873046875,-12.088623046875
555.70751953125,345.11712646484375,1681,1243,,,-15.0887451171875,-23.07373046875
563.00439453125,347.25115966796875,1570,1215,,,-15.758453369140625,-16.8505859375
563.789794921875,348.66058349609375,1656,1202,,,-17.1129150390625,-19.17669677734375
565.3009033203125,349.9211730957031,1343,1273,,,-14.798492431640625,-12.396728515625
574.8743286132812,353.2065734863281,1419,1074,,,-3.022430419921875,8.67877197265625
573.2042236328125,354.0815124511719,1516,1169,,,-1.81939697265625,6.41217041015625
569.9136352539062,354.3996276855469,1606,1301,,,2.903106689453125,9.64300537109375
578.78125,360.20587158203125,1669,1258,,,2.982666015625,7.6051025390625
579.85498046875,363.0096130371094,1419,1048,,,5.35888671875,7.31683349609375
582.9664916992188,365.77349853515625,1583,1229,,,5.46820068359375,8.579345703125
577.6976318359375,364.71966552734375,1516,1226,,,1.640472412109375,-4.463623046875
566.195556640625,356.22900390625,1635,1185,,,-6.97943115234375,-11.61138916015625
566.7920532226562,355.9009094238281,1480,1126,,,-7.844390869140625,-11.760498046875
560.2706298828125,351.49652099609375,1466,1113,,,-14.376434326171875,-20.4293212890625
571.1761474609375,357.22320556640625,1917,1051,,,-7.426849365234375,-10.8260498046875
572.5381469726562,357.6507263183594,1614,1134,,,-10.42938232421875,-14.11651611328125
574.3871459960938,360.3052978515625,1576,1076,,,-4.235382080078125,-6.5115966796875
582.1612548828125,363.0791931152344,1573,1015,,,-5.478179931640625,-3.91693115234375
577.8069458007812,363.20843505859375,2101,1265,,,-7.943817138671875,-9.464111328125
578.5525512695312,363.74530029296875,1839,1177,,,-5.507965087890625,-7.26715087890625
580.699951171875,365.8729553222656,2175,1118,,,15.06243896484375,21.97021484375
582.002197265625,364.6500549316406,1949,1097,,,11.224700927734375,16.6715087890625
586.6546630859375,368.0801086425781,1499,1111,,,12.308441162109375,20.548583984375
580.8987426757812,364.5406799316406,1740,1111,,,26.128082275390625,45.33221435546875
586.0781860351562,368.557373046875,1655,1164,,,31.944305419921875,56.23779296875
587.2710571289062,371.1522521972656,1749,1462,,,29.389129638671875,48.10589599609375
585.8197021484375,369.2532653808594,1685,1056,,,19.65570068359375,31.5635986328125
558.729736328125,350.8105163574219,1477,939,,,7.546142578125,12.2576904296875
565.3306884765625,353.42535400390625,1555,1067,,,9.3953857421875,22.72576904296875
566.1060791015625,355.77166748046875,1559,1014,,,9.176666259765625,19.017578125
535.5665283203125,338.41259765625,1589,1103,,,-14.585174560546875,-23.07366943359375
529.8403930664062,336.6130676269531,1385,1022,,,-16.802276611328125,-31.45404052734375
